adopt_feature,adopt_importance,euth_feature,euth_importance,transfer_feature,transfer_importance
breed_Great Dane,0.002935449592769146,breed_Miniature Pinscher Mix,0.0031678301747888327,breed_Chihuahua Shorthair Mix,0.003023382741957903
color_White/Cream,0.0029212990775704384,breed_Rat Terrier Mix,0.0031387710478156805,breed_Vizsla/Weimaraner,0.003012955654412508
color_Red/White,0.0029144405853003263,color_White/Blue,0.003032619133591652,breed_Anatol Shepherd,0.0029704037588089705
breed_Australian Kelpie Mix,0.002906134119257331,breed_Cardigan Welsh Corgi Mix,0.002951455768197775,breed_Chihuahua Longhair,0.002955092815682292
breed_Basset Hound/Pit Bull,0.0028897649608552456,color_Cream/White,0.0028996423352509737,breed_Maltese/Miniature Poodle,0.0029501477256417274
color_Fawn/Black,0.0028500505723059177,color_Black/Gray,0.0028309363406151533,color_Fawn/Black,0.002936960430815816
breed_Miniature Poodle Mix,0.002836857922375202,breed_Maltese Mix,0.0028232636395841837,color_Tricolor,0.0029265580233186483
breed_Australian Cattle Dog,0.002770670922473073,breed_Pomeranian,0.002803980838507414,breed_German Shepherd/Labrador Retriever,0.0029242250602692366
breed_Cairn Terrier,0.002766317455098033,breed_Beagle,0.002795640379190445,color_White/Brown Brindle,0.0029184448067098856
breed_English Springer Spaniel Mix,0.0027391554322093725,color_Tricolor/White,0.002677487675100565,color_Black/Black,0.0028521439526230097
intake_condition_Injured,0.002726404694840312,breed_Doberman Pinsch,0.002670292742550373,breed_American Bulldog Mix,0.002841589506715536
color_Cream,0.0027019260451197624,breed_Dachshund Mix,0.0025479160249233246,breed_Carolina Dog,0.002825341420248151
color_Sable,0.0026798013132065535,breed_Chihuahua Shorthair/Pug,0.002514729741960764,breed_Dachshund/Manchester Terrier,0.00281313294544816
color_Tan/Tricolor,0.0026765952352434397,color_Blue Merle,0.0024497995618730783,breed_Collie Rough/Spanish Water Dog,0.002764488337561488
color_Blue Merle/White,0.002676391741260886,breed_Pointer,0.0024158114101737738,breed_Miniature Poodle Mix,0.0027613206766545773
breed_Pbgv Mix,0.002675767056643963,breed_Border Collie/Labrador Retriever,0.002404242753982544,breed_Cardigan Welsh Corgi/Chihuahua Shorthair,0.002756425878033042
breed_Dachshund Mix,0.002669462002813816,breed_Dachshund,0.00239765178412199,intake_condition_Other,0.002708394778892398
color_Brown/Black,0.0026676347479224205,breed_Dachshund Longhair Mix,0.0023812823928892612,breed_Alaskan Husky,0.0027077384293079376
breed_Bloodhound Mix,0.002660102443769574,breed_Chinese Sharpei Mix,0.0023723605554550886,color_Tricolor/Black,0.0026802592910826206
breed_Australian Shepherd Mix,0.0026450492441654205,breed_Miniature Schnauzer,0.0023481666576117277,breed_Manchester Terrier Mix,0.0026725102216005325
breed_Labrador Retriever/Plott Hound,0.0026334337890148163,breed_Alaskan Husky,0.002327573951333761,breed_Chihuahua Shorthair/Pug,0.002667064778506756
intake_type_Abandoned,0.0026173500809818506,breed_Doberman Pinsch Mix,0.0021771027240902185,color_Black/Tan,0.0026461491361260414
color_Chocolate/Tan,0.002599068684503436,breed_Australian Cattle Dog,0.0019141078228130937,breed_Beagle,0.0026138608809560537
breed_Chinese Sharpei Mix,0.00259793596342206,breed_Cocker Spaniel Mix,0.0018932550447061658,breed_Chinese Sharpei/Pit Bull,0.0025725262239575386
breed_Greyhound/Labrador Retriever,0.0025883682537823915,breed_Beagle Mix,0.0016644535353407264,color_Black/Gray,0.0025692631024867296
breed_Chihuahua Shorthair/Dachshund Wirehair,0.0025867728982120752,breed_Yorkshire Terrier,0.0016443259082734585,breed_Boxer/Labrador Retriever,0.002560606924816966
breed_Beagle Mix,0.002569925971329212,color_Brown/Tan,0.0016207938315346837,breed_Toy Poodle,0.0025585100520402193
breed_Doberman Pinsch Mix,0.0025620816741138697,breed_American Bulldog Mix,0.0015080156736075878,breed_Bloodhound Mix,0.0025526524987071753
breed_Anatol Shepherd/Great Pyrenees,0.0025579039938747883,color_White/Tricolor,0.0013746368931606412,breed_Cavalier Span,0.002491557504981756
