adopt_feature,adopt_importance,euth_feature,euth_importance,transfer_feature,transfer_importance
breed_Pixiebob Shorthair Mix,0.0,breed_Oriental Sh Mix,0.0,breed_Tonkinese,0.0
breed_Pixiebob Shorthair,0.0,breed_Ocicat Mix,0.0,breed_Sphynx,0.0
breed_Oriental Sh Mix,0.0,breed_Norwegian Forest Cat Mix,0.0,breed_Siamese/Snowshoe,0.0
breed_Ocicat Mix,0.0,breed_Munchkin Shorthair Mix,0.0,breed_Scottish Fold Mix,0.0
breed_Munchkin Shorthair Mix,0.0,breed_Munchkin Longhair/Ragdoll,0.0,breed_Ragdoll/Snowshoe,0.0
breed_Sphynx,0.0,breed_Munchkin Longhair Mix,0.0,breed_Pixiebob Shorthair Mix,0.0
breed_Munchkin Longhair/Ragdoll,0.0,breed_Manx/Siamese,0.0,breed_Pixiebob Shorthair,0.0
breed_Munchkin Longhair Mix,0.0,breed_Sphynx,0.0,breed_Ocicat Mix,0.0
breed_Manx/Siamese,0.0,breed_Tonkinese Mix,0.0,breed_Turkish Angora,0.0
breed_Manx Mix,0.0,breed_Maine Coon,0.0,breed_Norwegian Forest Cat Mix,0.0
breed_Javanese Mix,0.0,breed_Turkish Angora,0.0,breed_Munchkin Shorthair Mix,0.0
breed_Japanese Bobtail/Siamese,0.0,color_Black/Black Tabby,0.0,breed_Munchkin Longhair/Ragdoll,0.0
breed_Japanese Bobtail Mix,0.0,color_Black/Black Smoke,0.0,breed_Munchkin Longhair Mix,0.0
breed_Siamese/Snowshoe,0.0,color_Black Tiger/White,0.0,breed_Manx/Siamese,0.0
breed_Tonkinese,0.0,color_Black Tiger,0.0,breed_Javanese Mix,0.0
breed_Havana Brown,0.0,color_Black Tabby/Gray Tabby,0.0,breed_Japanese Bobtail/Siamese,0.0
color_Black Smoke/Brown Tabby,0.0,color_Black Tabby/Black,0.0,breed_Tonkinese Mix,0.0
color_Black/Blue,0.0,color_Black Smoke/Brown Tabby,0.0,color_Agouti,0.0
color_Black/Black Tabby,0.0,color_Black Smoke/Black Tiger,0.0,color_Cream/Seal Point,0.0
color_Black/Black Smoke,0.0,color_Black Brindle,0.0,color_Black Tabby/Gray Tabby,0.0
color_Black Tiger/White,0.0,color_Apricot/White,0.0,color_Black/Chocolate,0.0
color_Black Tiger,0.0,color_Apricot,0.0,color_Black/Brown Tabby,0.0
color_Black Tabby/Gray Tabby,0.0,color_Agouti/White,0.0,color_Black/Blue,0.0
color_Black Tabby/Black,0.0,color_Agouti/Cream,0.0,color_Black/Black Tabby,0.0
color_Black Smoke/Black Tiger,0.0,color_Agouti/Brown Tabby,0.0,color_Black/Black Smoke,0.0
breed_Tonkinese Mix,0.0,color_Agouti,0.0,color_Black Tiger/White,0.0
color_Black Brindle,0.0,breed_Turkish Van Mix,0.0,color_Black Tiger,0.0
color_Apricot/White,0.0,breed_Turkish Angora Mix,0.0,color_Black Tabby/Black,0.0
color_Apricot,0.0,breed_Manx,0.0,color_Agouti/Brown Tabby,0.0
color_Agouti/White,0.0,breed_Javanese Mix,0.0,color_Black Smoke/Brown Tabby,0.0
color_Agouti/Cream,0.0,color_Cream Tabby/Orange Tabby,0.0,color_Black Smoke/Black Tiger,0.0
color_Agouti/Brown Tabby,0.0,breed_Domestic Longhair/Manx,0.0,color_Black Brindle,0.0
breed_Turkish Angora,0.0,breed_Devon Rex Mix,0.0,color_Apricot/White,0.0
breed_Havana Brown Mix,0.0,breed_Devon Rex,0.0,color_Apricot,0.0
breed_Exotic Shorthair Mix,0.0,breed_Cymric Mix,0.0,color_Agouti/White,0.0
color_Black/Chocolate,0.0,breed_Cornish Rex Mix,0.0,color_Agouti/Cream,0.0
breed_Bengal Mix,0.0,breed_Colorpoint Mix,0.0,breed_Japanese Bobtail Mix,0.0
breed_Burmese Mix,0.0,breed_Chartreux Mix,0.0,breed_Himalayan,0.0
breed_Burmese,0.0,breed_Burmese Mix,0.0,breed_Havana Brown Mix,0.0
breed_British Shorthair/Domestic Shorthair,0.0,breed_Burmese,0.0,breed_British Shorthair,0.0
